particle,time,energy,r,potential,impact parameter,v0
2,251228.00194497657,3512.790513646556,1540135935506728.2,-74014.53187801437,5529978539275639.0,92.0
2,258266.4805451856,3308.450641661024,1493823184016185.5,-75191.16500206049,5529978539275639.0,92.0
2,265502.15126021486,3070.372901506227,1449081465714680.5,-76455.51834642034,5529978539275639.0,92.0
2,272940.5386831414,2796.2469106016215,1406410519925356.0,-77798.34253200964,5529978539275639.0,92.0
2,280587.3221856877,2484.112791218271,1366389449060509.2,-79203.19598431283,5529978539275639.0,92.0
2,288448.3402545511,2132.586747446636,1329679574841245.8,-80644.50200638591,5529978539275639.0,92.0
2,296529.59494920814,1741.138541285778,1297021745176738.0,-82085.80565807504,5529978539275639.0,92.0
2,304837.25648462796,1310.4084712282056,1269225347822100.0,-83478.76495886678,5529978539275639.0,92.0
2,313377.6679423579,842.533854685651,1247146321150363.5,-84763.60347840283,5529978539275639.0,92.0
2,322157.35011361033,341.4338445278263,1231652412166391.8,-85871.78949354577,5529978539275639.0,92.0
2,331183.00647802826,-187.01664344788878,1223576177404037.8,-86731.41456498145,5529978539275639.0,92.0
2,340461.52832193894,-734.9970675068325,1223659677607580.5,-87275.01243969784,5529978539275639.0,92.0
